% Age (Ma)         ecc            prec           obl
  -65310.000       0.024473       0.023705       0.402155
  -65305.000       0.016262       0.005928       0.409548
  -65300.000       0.008263      -0.006371       0.413070
  -65295.000       0.004510      -0.003997       0.411343
  -65290.000       0.010234      -0.009969       0.405392
  -65285.000       0.017184       0.000666       0.398644
  -65280.000       0.023498       0.023481       0.394384
  -65275.000       0.028888       0.002206       0.394718
  -65270.000       0.033141      -0.032952       0.400295
  -65265.000       0.036495      -0.005331       0.408462
  -65260.000       0.038887       0.038099       0.415053
  -65255.000       0.040333       0.010523       0.415873
  -65250.000       0.040839      -0.038809       0.409427
  -65245.000       0.040624      -0.013640       0.398915
  -65240.000       0.039676       0.037462       0.390902
  -65235.000       0.038042       0.011501       0.391307
  -65230.000       0.035875      -0.034519       0.399792
  -65225.000       0.033278      -0.008282       0.410174
  -65220.000       0.030232       0.029509       0.415656
  -65215.000       0.027033       0.004159       0.413446
  -65210.000       0.024007      -0.023998       0.406104
  -65205.000       0.021479       0.003562       0.398815
  -65200.000       0.019851       0.018102       0.395928
  -65195.000       0.019446      -0.012527       0.397808
  -65190.000       0.020249      -0.011832       0.401964
  -65185.000       0.021539       0.019593       0.405876
  -65180.000       0.022953       0.006383       0.408097
  -65175.000       0.024127      -0.023780       0.408371
  -65170.000       0.024642      -0.002129       0.406347
  -65165.000       0.024369       0.024367       0.402541
  -65160.000       0.023280      -0.001484       0.399025
  -65155.000       0.021558      -0.021331       0.398504
  -65150.000       0.019091       0.004395       0.402336
  -65145.000       0.016187       0.015290       0.408021
  -65140.000       0.013144      -0.006134       0.410918
  -65135.000       0.010481      -0.007654       0.408080
  -65130.000       0.009267       0.008624       0.400953
  -65125.000       0.010478      -0.001059       0.395190
  -65120.000       0.013678      -0.012488       0.395776
  -65115.000       0.017801       0.009926       0.402501
  -65110.000       0.022399       0.017620       0.410054
  -65105.000       0.027133      -0.017137       0.412997
  -65100.000       0.031747      -0.024700       0.409991
  -65095.000       0.035902       0.022509       0.403794
  -65090.000       0.039598       0.030739       0.398653
  -65085.000       0.042589      -0.027058       0.396739
  -65080.000       0.044568      -0.034390       0.397652
  -65075.000       0.045459       0.028779       0.400382
  -65070.000       0.045159       0.035330       0.404539
  -65065.000       0.043661      -0.026284       0.409504
  -65060.000       0.040754      -0.033625       0.412788
  -65055.000       0.036734       0.018936       0.411478
  -65050.000       0.031704       0.028204       0.404737
  -65045.000       0.025962      -0.010038       0.396098
  -65040.000       0.019736      -0.018948       0.391936
  -65035.000       0.013742       0.000686       0.395779
  -65030.000       0.009373       0.008261       0.404828
  -65025.000       0.009788       0.009473       0.412090
  -65020.000       0.014228       0.003810       0.412864
  -65015.000       0.019773      -0.016981       0.407781
  -65010.000       0.025247      -0.016059       0.401511
  -65005.000       0.030393       0.021410       0.398619
  -65000.000       0.035056       0.026890       0.399666
  -64995.000       0.039170      -0.022638       0.402145
  -64990.000       0.042597      -0.036532       0.403802
  -64985.000       0.045389       0.020583       0.404643
  -64980.000       0.047434       0.043588       0.405615
  -64975.000       0.048616      -0.016301       0.406293
  -64970.000       0.048720      -0.046794       0.405216
  -64965.000       0.047889       0.011071       0.402016
  -64960.000       0.045914       0.045014       0.399198
  -64955.000       0.042792      -0.007214       0.400088
  -64950.000       0.038468      -0.038125       0.405019
  -64945.000       0.033229       0.002599       0.410165
  -64940.000       0.027112       0.027112       0.410513
  -64935.000       0.020462       0.001943       0.404839
  -64930.000       0.013585      -0.013208       0.397100
  -64925.000       0.007297      -0.004182       0.393724
  -64920.000       0.005284      -0.001051       0.397833
  -64915.000       0.009883       0.006046       0.406115
  -64910.000       0.015392       0.014079       0.412514
  -64905.000       0.020455      -0.005712       0.413065
  -64900.000       0.024592      -0.024132       0.408373
  -64895.000       0.027873       0.003647       0.402026
  -64890.000       0.030222       0.030111       0.397302
  -64885.000       0.031641      -0.001526       0.395745
  -64880.000       0.032218      -0.032215       0.397259
  -64875.000       0.032132      -0.000732       0.401574
  -64870.000       0.031302       0.031237       0.407700
  -64865.000       0.029858       0.003416       0.413014
  -64860.000       0.027812      -0.027444       0.414060
  -64855.000       0.025263      -0.004829       0.408819
  -64850.000       0.022196       0.021855       0.399545
  -64845.000       0.018831       0.001835       0.392258
  -64840.000       0.015330      -0.015300       0.392671
  -64835.000       0.012130       0.003862       0.400772
  -64830.000       0.010343       0.007736       0.410343
  -64825.000       0.010866      -0.010006       0.414749
  -64820.000       0.013408      -0.001188       0.411538
  -64815.000       0.016686       0.016593       0.403789
  -64810.000       0.019931      -0.004485       0.397403
  -64805.000       0.022707      -0.021602       0.396430
  -64800.000       0.024635       0.008746       0.400466
  -64795.000       0.025650       0.023826       0.405724
  -64790.000       0.025610      -0.009191       0.408920
  -64785.000       0.024613      -0.023230       0.408797
  -64780.000       0.022634       0.006643       0.405865
  -64775.000       0.019993       0.019387       0.401607
  -64770.000       0.016680      -0.003013       0.397984
  -64765.000       0.012901      -0.012858       0.397455
  -64760.000       0.008871      -0.000893       0.401278
  -64755.000       0.005251       0.004487       0.408030
  -64750.000       0.004104       0.004094       0.413607
  -64745.000       0.007175       0.005382       0.413439
  -64740.000       0.011532      -0.004425       0.406396
  -64735.000       0.016168      -0.015782       0.396189
  -64730.000       0.020930       0.002491       0.390011
  -64725.000       0.025735       0.025697       0.393136
  -64720.000       0.030364       0.000568       0.403724
  -64715.000       0.034650      -0.034451       0.414631
  -64710.000       0.038280      -0.007865       0.418854
  -64705.000       0.041251       0.039420       0.414169
  -64700.000       0.043303       0.015738       0.403742
  -64695.000       0.044357      -0.040544       0.393903
  -64690.000       0.044188      -0.019204       0.390442
  -64685.000       0.042973       0.037878       0.394730
  -64680.000       0.040572       0.021709       0.403677
  -64675.000       0.037249      -0.028999       0.412226
  -64670.000       0.033334      -0.024660       0.416131
  -64665.000       0.029404       0.015122       0.413407
  -64660.000       0.025772       0.024638       0.405236
  -64655.000       0.023169      -0.000200       0.396188
  -64650.000       0.022129      -0.021117       0.391838
  -64645.000       0.023029      -0.013174       0.395525
  -64640.000       0.025392       0.015999       0.404863
  -64635.000       0.028535       0.025959       0.413212
  -64630.000       0.031808      -0.006338       0.414982
  -64625.000       0.035077      -0.035076       0.408910
  -64620.000       0.038201      -0.005447       0.399224
  -64615.000       0.041215       0.039844       0.393049
  -64610.000       0.043887       0.015410       0.394924
  -64605.000       0.046190      -0.041331       0.403329
  -64600.000       0.047938      -0.026339       0.412137
  -64595.000       0.049197       0.037351       0.415555
  -64590.000       0.049661       0.036614       0.411466
  -64585.000       0.049301      -0.029498       0.402170
  -64580.000       0.047965      -0.040472       0.393293
  -64575.000       0.045736       0.022060       0.390594
  -64570.000       0.042467       0.038625       0.396275
  -64565.000       0.038437      -0.011914       0.407193
  -64560.000       0.034042      -0.033645       0.416896
  -64555.000       0.029745      -0.002064       0.419411
  -64550.000       0.026010       0.024483       0.412754
  -64545.000       0.023479       0.014311       0.400291
  -64540.000       0.022679      -0.012995       0.389354
  -64535.000       0.023713      -0.022352       0.387385
  -64530.000       0.025943       0.002932       0.395820
  -64525.000       0.028496       0.028367       0.408807
  -64520.000       0.030800       0.008810       0.418391
  -64515.000       0.032712      -0.029151       0.419235
  -64510.000       0.034130      -0.020074       0.411255
  -64505.000       0.035114       0.025505       0.399298
  -64500.000       0.035542       0.026814       0.390491
  -64495.000       0.035519      -0.021073       0.390283
  -64490.000       0.035135      -0.030003       0.398524
  -64485.000       0.034427       0.014517       0.409650
  -64480.000       0.033258       0.031703       0.416617
  -64475.000       0.031682      -0.005577       0.415178
  -64470.000       0.029650      -0.029581       0.406225
  -64465.000       0.026989      -0.000388       0.395582
  -64460.000       0.023692       0.023627       0.390847
  -64455.000       0.019886       0.002864       0.395649
  -64450.000       0.015821      -0.015299       0.406391
  -64445.000       0.011687      -0.005284       0.415263
  -64440.000       0.008010       0.005311       0.416214
  -64435.000       0.005916       0.005907       0.408689
  -64430.000       0.006803       0.004016       0.397553
  -64425.000       0.009273      -0.005154       0.390344
  -64420.000       0.011798      -0.010719       0.391954
  -64415.000       0.013733       0.004344       0.401185
  -64410.000       0.014789       0.014399       0.412176
  -64405.000       0.015043      -0.001978       0.418511
  -64400.000       0.014614      -0.014608       0.416633
  -64395.000       0.013509      -0.000940       0.407120
  -64390.000       0.011805       0.011673       0.394732
  -64385.000       0.009735       0.002092       0.386860
  -64380.000       0.007529      -0.007207       0.389252
  -64375.000       0.005191      -0.002231       0.401181
  -64370.000       0.002880       0.002093       0.415182
  -64365.000       0.001143       0.001092       0.422429
  -64360.000       0.002325       0.002271       0.418297
  -64355.000       0.004679       0.002620       0.405022
  -64350.000       0.007246      -0.005106       0.391038
  -64345.000       0.010006      -0.007841       0.385995
  -64340.000       0.012740       0.007073       0.393109
  -64335.000       0.015438       0.013547       0.406340
  -64330.000       0.017900      -0.006821       0.416346
  -64325.000       0.020055      -0.019313       0.417484
  -64320.000       0.021519       0.003643       0.410296
  -64315.000       0.022412       0.022326       0.400076
  -64310.000       0.022550      -0.000486       0.393279
  -64305.000       0.021980      -0.021943       0.393613
  -64300.000       0.020690      -0.003592       0.400172
  -64295.000       0.019150       0.017985       0.408677
  -64290.000       0.017765       0.009916       0.414194
  -64285.000       0.017022      -0.010596       0.413386
  -64280.000       0.017235      -0.016200       0.406083
  -64275.000       0.018495       0.001177       0.396005
  -64270.000       0.020579       0.020345       0.389953
  -64265.000       0.023136       0.007194       0.393411
  -64260.000       0.025589      -0.022838       0.405131
  -64255.000       0.027746      -0.016422       0.417211
  -64250.000       0.029438       0.020326       0.421120
  -64245.000       0.030775       0.025530       0.413510
  -64240.000       0.031736      -0.013717       0.398632
  -64235.000       0.032463      -0.030655       0.386624
  -64230.000       0.032954       0.007910       0.386443
  -64225.000       0.033395       0.033115       0.397925
  -64220.000       0.033706       0.000555       0.412318
  -64215.000       0.033812      -0.033207       0.420431
  -64210.000       0.033569      -0.011920       0.418483
  -64205.000       0.033021       0.028609       0.408805
  -64200.000       0.031987       0.019580       0.397436
  -64195.000       0.030431      -0.021496       0.390496
  -64190.000       0.028568      -0.022763       0.391145
  -64185.000       0.026735       0.012204       0.398496
  -64180.000       0.025370       0.024604       0.408484
  -64175.000       0.024794       0.000788       0.416003
  -64170.000       0.025182      -0.023903       0.416832
  -64165.000       0.026474      -0.014563       0.409734
  -64160.000       0.028493       0.020179       0.398320
  -64155.000       0.030739       0.024572       0.390259
  -64150.000       0.032727      -0.016881       0.392083
  -64145.000       0.034180      -0.030893       0.402888
  -64140.000       0.034920       0.011160       0.414406
  -64135.000       0.034871       0.034243       0.417976
  -64130.000       0.034099      -0.002028       0.410947
  -64125.000       0.032678      -0.032640       0.398534
  -64120.000       0.030843      -0.004031       0.390352
  -64115.000       0.028731       0.028046       0.392751
  -64110.000       0.026466       0.008717       0.403187
  -64105.000       0.024116      -0.021220       0.413347
  -64100.000       0.021914      -0.013758       0.416696
  -64095.000       0.019747       0.012720       0.412164
  -64090.000       0.017587       0.015295       0.403348
  -64085.000       0.015309      -0.004999       0.395318
  -64080.000       0.013139      -0.013018       0.391949
  -64075.000       0.011221      -0.001370       0.394693
  -64070.000       0.010110       0.009036       0.402474
  -64065.000       0.009963       0.007606       0.412036
  -64060.000       0.010874      -0.003581       0.418400
  -64055.000       0.012422      -0.012405       0.417044
  -64050.000       0.014168      -0.001839       0.407246
  -64045.000       0.015609       0.015197       0.393973
  -64040.000       0.016538       0.004133       0.386454
  -64035.000       0.016770      -0.016329       0.391020
  -64030.000       0.016412      -0.003339       0.404504
  -64025.000       0.015344       0.015074       0.416905
  -64020.000       0.013837       0.002016       0.419900
  -64015.000       0.012115      -0.012106       0.412455
  -64010.000       0.010727       0.001713       0.400566
